logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
IGKV2D.28	-5.38282483039171	-7.34303701142184	-3.42261264936157	10.3097117178258	-5.65540119866244	6.89659839300434e-06	0.0385002780481171	3.02998096523145
IGLJ3	-4.07393075652616	-5.60091328551306	-2.54694822753926	8.87720425801814	-5.49459682850245	1.04034671576036e-05	0.0385002780481171	2.7229835950414
IGHV3.49	-4.72570911846897	-6.5157369538517	-2.93568128308625	6.91694673423116	-5.43705163751277	1.20577131375249e-05	0.0385002780481171	2.61228289416046
HIST1H2BD	-1.44335580639861	-2.02970545496536	-0.857006157831853	5.1935842137531	-5.06959178718713	3.1079416185576e-05	0.074427431910408	1.89595857090211
IGKV2D.29	-5.21438101508123	-7.41216799371405	-3.01659403644841	6.19498760258075	-4.88622455699032	4.99596437228665e-05	0.0957126854442677	1.53317743647049
RPL21P119	1.16529863516277	0.644654744146357	1.68594252617919	1.25943565358125	4.60948829955545	0.000102395172401825	0.163473892739514	0.980522971758973
PRG4	2.14625398568963	1.14164090114388	3.15086707023538	2.56409387284697	4.39985678485352	0.000176324197237283	0.194003480070592	0.558966683704711
ENO2	0.989877571113179	0.522921994550657	1.4568331476757	3.18442834641562	4.36578328545154	0.00019259182823885	0.194003480070592	0.490295306975711
IGHJ5	-3.3867525080809	-4.99329265163993	-1.78021236452187	12.4702965173692	-4.34158327141263	0.000205044567479302	0.194003480070592	0.441505226463818
IGHV1.69.2	-4.56975170362605	-6.73826825742646	-2.40123514982565	8.51406630651464	-4.33996390693021	0.00020590588629366	0.194003480070592	0.438239930347651
HIST1H2AC	-1.76968117988327	-2.62130343965361	-0.918058920112923	4.56668734206765	-4.27961088887418	0.000240705994754357	0.194003480070592	0.316509362475833
IGLV2.23	-4.32978510891954	-6.41521933423844	-2.24435088360065	7.94255354418762	-4.27588584167484	0.00024303599131925	0.194003480070592	0.308994200463917
CRTAC1	1.44640235642426	0.738377133437139	2.15442757941138	1.17925060761302	4.20723380441741	0.000290218535440826	0.213846411614436	0.170468309737197
FYCO1	1.15614740055087	0.576202356627619	1.73609244447413	1.22353356826835	4.10565659895935	0.000377165100244177	0.258061749659926	-0.0344994930506841
IGHV3.11	-4.05684023342525	-6.12537313138924	-1.98830733546126	8.6019272127877	-4.0390732416473	0.000447685877553438	0.285892201405626	-0.168791826976419
CD6	1.84096065347532	0.889183459733439	2.79273784721721	1.48320703531222	3.9835059341902	0.000516402176462712	0.30916352802102	-0.280787878359342
HIST2H2AA4	-1.07592906431213	-1.64348504881048	-0.508373079813782	7.95968824415701	-3.90419218753166	0.000632858685355838	0.329800948899641	-0.440463386938123
KPTN	-0.860740941045949	-1.31661481056253	-0.40486707152937	1.16990301721368	-3.888517137857	0.000658766541295	0.329800948899641	-0.471989062089233
IGKV1.16	-4.02473111873304	-6.19656313174258	-1.8528991057235	7.84078513719339	-3.81651432977262	0.000791832068626722	0.329800948899641	-0.616637052297922
ZFP62	1.16003720360828	0.532223651378521	1.78785075583803	2.91978852418144	3.80537523494724	0.000814653213722231	0.329800948899641	-0.638987846541951
RHNO1	1.33002622659699	0.606633733308643	2.05341871988534	3.04750870296021	3.7865392522753	0.000854722722519855	0.329800948899641	-0.67676454218158
PEX11A	0.956566358140834	0.434031947479347	1.47910076880232	0.695600441765788	3.77013119721928	0.000891200750461885	0.329800948899641	-0.709652590310087
GGACT	1.08208615133708	0.490807936250488	1.67336436642367	1.28233579790044	3.76900068828866	0.000893769627806604	0.329800948899641	-0.711917881203323
IGHV2.26	-4.02198315036125	-6.22633844831751	-1.81762785240498	5.71770806875549	-3.75763772678732	0.000919997072715144	0.329800948899641	-0.734681733885496
IGHV1.2	-3.64531186084848	-5.64376403137374	-1.64685969032322	9.20756952622015	-3.7566193061275	0.000922384305361724	0.329800948899641	-0.736721523627952
RP11.20O24.1	1.1256827683886	0.505706474561554	1.74565906221565	1.24619112567352	3.73935924670393	0.000963779801472843	0.329800948899641	-0.771280037263568
TFDP1	0.934234520589297	0.419085264239547	1.44938377693905	2.13069432108656	3.73490095698348	0.000974765199294986	0.329800948899641	-0.780202913443486
RP11.27I1.4	1.15531098771341	0.516598295203304	1.79402368022351	0.98004665499762	3.72520016316332	0.000999094471260118	0.329800948899641	-0.799612931688201
CHST7	0.852190515772472	0.380293171218478	1.32408786032646	0.557460709803403	3.71916476827182	0.00101453053352121	0.329800948899641	-0.811685262360013
EML3	1.1685550218561	0.508167725152133	1.82894231856007	2.89682786926332	3.64423782639126	0.00122675678369906	0.329800948899641	-0.961304286540699
IGHV3.21	-3.22307279611564	-5.04731797801213	-1.39882761421915	9.52484529002002	-3.63867412751041	0.00124414497108567	0.329800948899641	-0.972394255946138
HIST1H2BC	-1.02683612355112	-1.60827698912363	-0.445395257978605	4.66878334745432	-3.63707153070026	0.00124919812906871	0.329800948899641	-0.975588125437111
POLR2H	0.966023988830502	0.41778109069617	1.51426688696483	3.58962952648736	3.62886784663518	0.00127538129439876	0.329800948899641	-0.991933680982201
FZR1	1.09532639966227	0.472959955167119	1.71769284415741	1.80626668045801	3.62454621896167	0.00128938943429909	0.329800948899641	-1.00054176225212
IGHJ2	-4.13410557917533	-6.49189830463548	-1.77631285371518	8.7624602227754	-3.61103914492517	0.00133414821206025	0.329800948899641	-1.02743415027742
HIST1H2BJ	-1.25188209807426	-1.96756083014588	-0.536203366002647	4.95799716153008	-3.60247996125204	0.00136329344548505	0.329800948899641	-1.04446592220693
IGHV1.46	-3.65447063611209	-5.74804976475454	-1.56089150746964	7.18096731784064	-3.59493756898498	0.00138949140969535	0.329800948899641	-1.05946821068599
RP11.147L13.12	1.13576351364847	0.4844402022269	1.78708682507005	2.54147899868804	3.59126577547341	0.00140242250929756	0.329800948899641	-1.06676951191312
NGFRAP1	1.23493984508963	0.526583232980056	1.9432964571992	1.02237297803703	3.59046011937471	0.00140527550858178	0.329800948899641	-1.06837135825811
IGKV1.8	-3.29968440361312	-5.19836753118947	-1.40100127603677	8.90772415698432	-3.57911925363962	0.0014460425820831	0.329800948899641	-1.09091260635225
ZFP36L2	1.50817884414045	0.639690735423012	2.37666695285789	5.23595644869565	3.57639290024448	0.00145601392270052	0.329800948899641	-1.09632950695181
IGKV2D.30	-3.63201140836442	-5.72354214483581	-1.54048067189302	6.19333290249937	-3.57634336578364	0.00145619570918667	0.329800948899641	-1.09642791796251
IGLV1.47	-4.161218768689	-6.56190334526998	-1.76053419210802	8.57401147813843	-3.56978205813911	0.00148047194933548	0.329800948899641	-1.10946105237115
HIST1H2AE	-1.5001601009372	-2.36985983966416	-0.630460362210232	5.17300325455522	-3.55242180425515	0.0015466245977465	0.331281966403225	-1.14392212271742
MAGED1	0.830373720589556	0.34863372483686	1.31211371634225	3.69025820202098	3.54990840844663	0.00155643805255661	0.331281966403225	-1.1489085803146
