logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
IGKV2D.28	-5.47196888788704	-7.45397760945226	-3.48996016632181	10.5155818411757	-5.6773746796786	5.86090243456044e-06	0.0428914332746228	2.9206528301225
HIST1H2BD	-1.47874278370483	-2.02007168964375	-0.93741387776591	5.25692078724194	-5.61747202573911	6.84619844766525e-06	0.0428914332746228	2.81019611228516
IGKV2D.29	-5.25524724913065	-7.42819500680291	-3.08229949145839	6.36219462103836	-4.97339973392023	3.68752854329654e-05	0.134172816259268	1.59353887479218
IGLJ3	-3.838874303604	-5.44457531654194	-2.23317329066606	8.81872682846981	-4.91641697155936	4.2832503195297e-05	0.134172816259268	1.48370057192384
IGHV3.49	-4.44560464138483	-6.36787167351732	-2.52333760925234	6.84384228958929	-4.7558332388245	6.53385978072061e-05	0.163738526104858	1.17266583898962
FYCO1	1.16926734728968	0.638786606917192	1.69974808766218	1.18358484916224	4.53266580030972	0.000117501562175978	0.245382429010835	0.737379842059884
KPTN	-0.962788381016128	-1.41545102119552	-0.510125740836737	1.26500929699302	-4.3738681458926	0.000178298445366604	0.319154217206221	0.426113563402352
HIST1H2AC	-1.71706524241924	-2.5390068242437	-0.89512366059478	4.57634108431541	-4.29591167501041	0.000218728312240189	0.342583219046195	0.273015859001517
CHST7	0.869089273734553	0.447963419923796	1.29021512754531	0.522894795601447	4.24386913787745	0.000250660318993758	0.348974866332421	0.170746601633565
IGKV6.21	-3.21552037626572	-4.8004208106012	-1.63061994193025	3.78030022523983	-4.17213910387383	0.00030237219014861	0.366165949873334	0.0297476780561254
PEX11A	0.960545619534812	0.484427507679558	1.43666373139007	0.667418296357986	4.14870726110158	0.000321454544980581	0.366165949873334	-0.0163145599943837
CD6	1.79791224309792	0.892927232009978	2.70289725418587	1.46488630866921	4.0854189770783	0.000379156823067416	0.384034531614099	-0.140711083102959
HIST1H3J	-1.51094065828546	-2.27751439201971	-0.7443669245512	1.82115810550152	-4.05324608519125	0.000412302319308248	0.384034531614099	-0.203930723601713
HIST1H2BC	-1.06412698665726	-1.60672165209479	-0.521532321219731	4.72242442421836	-4.03299269959982	0.000434619369289433	0.384034531614099	-0.243719187933516
EML3	1.19853137649708	0.581765353955963	1.8152973990382	2.84461020460099	3.9961194892423	0.000478352976275653	0.384034531614099	-0.31613427186802
NGFRAP1	1.28754615070333	0.617747975477959	1.9573443259287	0.952365561122674	3.95301391483564	0.00053500351423608	0.384034531614099	-0.400741137898637
TFDP1	0.918958917522922	0.438024740213779	1.39989309483207	2.11674317006114	3.92934311635078	0.000568873348046146	0.384034531614099	-0.447175309498198
IGLV2.23	-4.14196675349576	-6.31968966306814	-1.96424384392338	7.92432045062016	-3.91123118512414	0.000596207154232478	0.384034531614099	-0.482690394094059
RPL21P119	1.05378216954702	0.493905945571367	1.61365839352267	1.30752841352067	3.87051111768526	0.000662467818351246	0.384034531614099	-0.562485686780877
GGACT	1.09338499202828	0.509878370925806	1.67689161313075	1.24564077415569	3.85333545350591	0.00069254136130182	0.384034531614099	-0.596119752870719
POLR2H	0.934534349666987	0.43289128654335	1.43617741279062	3.5863204151304	3.83098063008623	0.000733700291175043	0.384034531614099	-0.639872943427834
IGKV2.29	-3.52435815900014	-5.43254697798259	-1.6161693400177	4.8198440878894	-3.79811568184001	0.000798607093919094	0.384034531614099	-0.704145799891936
ENPP5	1.03880173893846	0.475329221718053	1.60227425615886	0.686283360937309	3.79113655350277	0.000813099450829402	0.384034531614099	-0.717786330068503
ADTRP	1.1210332293071	0.511930931207839	1.73013552740636	1.49050306186494	3.78475478081551	0.000826577085551162	0.384034531614099	-0.730256677046508
FAM86C2P	0.734994032365538	0.335475435499041	1.13451262923203	0.461767443336543	3.78317395805328	0.000829949346130144	0.384034531614099	-0.733345295361324
HIST2H2AA4	-1.03227001844651	-1.59449749389168	-0.470042543001342	7.95729150882865	-3.77564146321493	0.000846204184328701	0.384034531614099	-0.748060106453186
ENO2	0.932120384090742	0.423606101311791	1.44063466686969	3.19909293344367	3.76945313513053	0.000859791678869453	0.384034531614099	-0.760146300596561
RP11.147L13.12	1.10889663629386	0.501961187145764	1.71583208544195	2.53039476183113	3.75714590192164	0.000887453169394681	0.384034531614099	-0.784175489282295
RP11.411H5.1	1.07845375363775	0.486186682505125	1.67072082477038	1.07515082489619	3.74449657150789	0.000916792453897274	0.384034531614099	-0.808861747599053
B3GLCT	0.877114956950062	0.395273139328397	1.35895677457173	1.0335003150627	3.74335940856919	0.000919476133154267	0.384034531614099	-0.81108046742695
CENPV	1.29777935677867	0.576078908548645	2.01947980500869	1.96599748167732	3.69788486418515	0.0010333382429264	0.386356587351979	-0.899727445930775
HIST1H2BJ	-1.25095743531014	-1.94705435674808	-0.554860513872201	4.99053603558171	-3.69557753169802	0.00103946959885419	0.386356587351979	-0.904221056183247
FZR1	1.0474561776581	0.463965663932619	1.63094669138358	1.81113200893204	3.69157385086966	0.00105019332314769	0.386356587351979	-0.912017349394234
HIST1H2AE	-1.48393316051051	-2.31336720660997	-0.654499114411055	5.20128614412632	-3.67910328472974	0.00108429374145402	0.386356587351979	-0.936292681452602
PLCG1	1.28738954795588	0.567529657871182	2.00724943804057	1.86182969252788	3.67765936672047	0.00108831139341997	0.386356587351979	-0.939102597230045
FAM50A	0.853729473188892	0.37535170357567	1.33210724280211	2.9298404882215	3.66993847417917	0.00111004286868885	0.386356587351979	-0.954124757541883
RAB36	0.747735363643128	0.3261410059096	1.16932972137666	0.762611418477384	3.64722561313465	0.00117646078167653	0.390362872686856	-0.998286329019949
ZFP62	1.08429026448797	0.472525298198422	1.69605523077751	2.94268404384143	3.64477273732093	0.00118386186449326	0.390362872686856	-1.00305283957502
