logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
IGKV2D.28	-5.57356483901173	-7.59383687136707	-3.55329280665639	10.5168663756262	-5.68472613152665	6.64396888028747e-06	0.0405859722579575	3.17885027335998
IGLJ3	-4.05929322806721	-5.56859991967634	-2.54998653645808	8.92338035540576	-5.54190743427175	9.54780381645789e-06	0.0405859722579575	2.90159318598187
IGHV3.49	-4.7328572069754	-6.50532866684962	-2.96038574710118	6.98729474012749	-5.50212549325099	1.05654394969197e-05	0.0405859722579575	2.82387670043703
HIST1H2BD	-1.45929279710483	-2.01386644230307	-0.904719151906597	5.22463818879931	-5.42212534087615	1.29564157248068e-05	0.0405859722579575	2.66697416267276
IGKV2D.29	-5.35707470569216	-7.57640610083015	-3.13774331055418	6.36638848440015	-4.97384087167498	4.09188375694252e-05	0.098186576125217	1.77405499852615
RPL21P119	1.15532635756678	0.671451687289901	1.63920102784367	1.25025215806277	4.91992105184541	4.70167164206945e-05	0.098186576125217	1.66529102141703
ENO2	1.02529995571694	0.587883453076646	1.46271645835722	3.14609272906717	4.82994422404663	5.92926932748554e-05	0.106133920961991	1.48325515230067
PRG4	2.19166830855698	1.20042522673115	3.18291139038282	2.50281003974591	4.5559715070154	0.000120249584283463	0.174831919708719	0.92551904509877
IGKV6.21	-3.36654409886614	-4.93316576464397	-1.79992243308831	3.84458367966864	-4.42798886580748	0.000167304043444475	0.174831919708719	0.663669193577305
HIST1H2AC	-1.77691446168906	-2.60397220124179	-0.949856722136335	4.59620094573331	-4.42707656115722	0.000167698188220645	0.174831919708719	0.661800589182123
IGHV1.69.2	-4.75951256993862	-6.98009650304221	-2.53892863683502	8.70929177463204	-4.41653448446657	0.000172320389691878	0.174831919708719	0.640206309470381
CRTAC1	1.45504743082425	0.775211103248603	2.1348837583999	1.15322712404827	4.41020851605502	0.000175154750688625	0.174831919708719	0.627246762195055
FYCO1	1.16186536326026	0.615718945999016	1.70801178052151	1.20356172107949	4.38362158577545	0.000187583778939367	0.174831919708719	0.572768604843898
IGLV2.23	-4.41426746967717	-6.4967067120938	-2.33182822726055	8.06122209507522	-4.36789958853202	0.000195342927048848	0.174831919708719	0.540545324606274
KPTN	-0.916027542722731	-1.3592264835484	-0.472828601897066	1.22027074523256	-4.25888741026701	0.000258673008175823	0.216078186162871	0.317000689082253
HIST2H2AA4	-1.10171339949815	-1.63978859218935	-0.563638206806937	7.99250956715239	-4.21902406399497	0.000286612812496267	0.224453658786139	0.235227064944711
PEX11A	0.975724380153767	0.48751159030131	1.46393717000622	0.669039990667886	4.11817070584143	0.000371395450530328	0.259966839174861	0.028359698797531
