logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
NLRC5	-1.36262289241461	-1.70361974299495	-1.02162604183427	3.78156535216952	-8.19461752375732	7.72114828060921e-09	2.52140988519029e-05	10.2259650866273
HTRA1	2.22172756342247	1.66428209587389	2.77917303097105	10.2074193386078	8.17319365994865	8.12910643726563e-09	2.52140988519029e-05	10.1782472545916
GBP1	-2.74352044484833	-3.43533425786137	-2.0517066318353	5.39358963786501	-8.1324676978289	8.96648309712624e-09	2.52140988519029e-05	10.0873468535815
CD74	-3.55707241106361	-4.46785718278902	-2.64628763933819	8.7259627593634	-8.00903737995536	1.20849529853712e-08	2.52140988519029e-05	9.8103293754353
HLA.DRA	-4.24839376736855	-5.34404316950819	-3.15274436522892	6.62980072109699	-7.95163674612007	1.3893741201356e-08	2.52140988519029e-05	9.68072799591337
STEAP3	1.46507122537987	1.08471795915181	1.84542449160793	3.557473414746	7.89905183445306	1.57933597569075e-08	2.52140988519029e-05	9.5615695869177
ITIH4	2.78987437495618	2.05064385359167	3.5291048963207	4.93177730762372	7.73941497079937	2.33551416851294e-08	3.19598431716935e-05	9.19732629361578
BST1	-1.39100986815189	-1.76435872747809	-1.01766100882569	2.93155741155214	-7.64044682044397	2.98147238572092e-08	3.56994049785259e-05	8.96963606584558
LMCD1	-1.52745992489344	-1.94549287421949	-1.10942697556739	5.28828064523181	-7.4931199630352	4.29829468924976e-08	4.57481831425816e-05	8.62806664987126
WSB1	-0.828221333697476	-1.06072486060709	-0.595717806787859	6.65082766284448	-7.30500038093032	6.88431751372188e-08	6.59448774639419e-05	8.18743608299823
PROS1	0.825564027114443	0.590362625001529	1.06076542922736	7.03669600890492	7.19803956617191	9.01598307272992e-08	7.85128198669817e-05	7.93470433549539
HLA.DOA	-2.56350133217837	-3.32228459490383	-1.80471806945291	2.23971958914406	-6.92818027754762	1.79151093286369e-07	0.000143007360215844	7.2902054835504
HAPLN3	-2.23932116271692	-2.90847551543263	-1.57016681000121	3.76225330916946	-6.86267531532525	2.11913984137016e-07	0.000156148004157575	7.13232171210939
TPM1	-1.27379021442767	-1.65715009554744	-0.890430333307906	5.89095366122539	-6.8138822071701	2.40230459679753e-07	0.000164369112376597	7.01436283264471
SLC2A12	1.82528086318503	1.27177181760237	2.3787899087677	5.83410976332671	6.76251673707153	2.7421607574025e-07	0.000175114385967724	6.88986232555854
HLA.DRB1	-3.21770079806173	-4.20350705701059	-2.23189453911286	6.35378068195068	-6.69356464542772	3.27665850506031e-07	0.00019616944887483	6.7222223591763
HLA.E	-1.02903551373524	-1.34549677445495	-0.712574253015525	8.29760790122892	-6.66827012602875	3.49831105628767e-07	0.000197119538871645	6.66057970145007
PLEKHA1	1.71388840111895	1.18471170319599	2.24306509904191	5.56034052055784	6.641790960507	3.74670121645629e-07	0.000199386949735749	6.59596752213318
ITGB8	1.59122979086945	1.09623741806117	2.08622216367774	5.75168571213453	6.59231223690621	4.25993079996939e-07	0.00021476777438372	6.47500990976478
