logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
HLA.DRA	-3.91785488872003	-5.02730861145774	-2.80840116598233	6.67084786098587	-7.20092587818505	4.15037086732981e-08	0.000520041469676425	8.49427940654689
NLRC5	-1.24464023759391	-1.61294735591608	-0.876333119271744	3.78739665075122	-6.8910104805143	9.77911241283813e-08	0.000559228410901249	7.7130631564388
CD74	-3.25594404948407	-4.23545221033421	-2.27643588863393	8.74539003085773	-6.77825745818634	1.33893474278033e-07	0.000559228410901249	7.42591503872608
PROS1	0.764367151434065	0.530307959340414	0.998426343527716	7.02685959782074	6.65925276025458	1.86788955654397e-07	0.000582835645848431	7.12125205232464
HTRA1	2.08634063783257	1.43963673151176	2.73304454415338	10.1629875223394	6.5785309020176	2.34285596600105e-07	0.000582835645848431	6.91370269745314
XXbac.BPG248L24.12	-0.856758736114469	-1.12486406368885	-0.588653408540091	2.35461967818747	-6.51631820247006	2.79091290909065e-07	0.000582835645848431	6.75326896688599
STEAP3	1.41379701381842	0.965905669573969	1.86168835806288	3.50488112288553	6.43670457012636	3.49308719186253e-07	0.000625262607343393	6.54738049909927
WSB1	-0.78963886569394	-1.04690967431765	-0.532368057070231	6.67467690768518	-6.25874403403832	5.77898840741058e-07	0.000855397561609946	6.08492974740177
ITIH4	2.55775821104579	1.72153362925279	3.3939827928388	4.91404925754981	6.23714360639868	6.1441165638384e-07	0.000855397561609946	6.02860053210788
GBP1	-2.52541833374162	-3.37630265755875	-1.67453400992449	5.41724865621026	-6.05218217920417	1.03957278566353e-06	0.0013025847004364	5.54465665611058
EEF1D	-0.444465689098641	-0.597652010793888	-0.291279367403395	8.26802908293112	-5.91653501159335	1.53083781669744e-06	0.00167488436430451	5.18808010643548
CARD16	-1.8253780862525	-2.45624286398362	-1.19451330852139	3.3541082806736	-5.90018647647543	1.60403929542332e-06	0.00167488436430451	5.14501949734475
HLA.DMA	-2.02153125013117	-2.73278339585631	-1.31027910440604	5.28700845931736	-5.79570211532824	2.16269559394461e-06	0.00208450583016354	4.86942491365481
GDF5	2.27541666929513	1.46796340405176	3.0828699345385	2.46619397893929	5.74635862209354	2.49091284036481e-06	0.00222895061237717	4.73905464239171
TPM1	-1.1756623330156	-1.59460825415654	-0.756716411874665	5.90385966735219	-5.72234217669614	2.6683367267085e-06	0.00222895061237717	4.6755543165045
RARRES2	-2.73217011583955	-3.71624338669089	-1.74809684498821	6.26145563841028	-5.66147360629118	3.17699966995707e-06	0.00230334717304664	4.51448878407427
HLA.DPB1	-2.14363193389143	-2.91590974560211	-1.37135412218076	6.00285966049179	-5.66012271176495	3.18933079620926e-06	0.00230334717304664	4.51091219379738
LMCD1	-1.35050319903062	-1.84255762402021	-0.85844877404103	5.26741956521659	-5.59669527693985	3.82578229147181e-06	0.00230334717304664	4.34289509848951
B2M	-1.10182242505695	-1.50380807439254	-0.699836775721352	13.8057905513598	-5.58920763821463	3.9088783386086e-06	0.00230334717304664	4.32304974174309
PLEKHA1	1.52976632767321	0.971643208747857	2.08788944659857	5.57490202644071	5.58913076647398	3.90974076867455e-06	0.00230334717304664	4.32284598838231
F5	2.68081913260708	1.70016981066644	3.66146845454771	3.7243385385179	5.57446211081645	4.0778533408516e-06	0.00230334717304664	4.28396167616073
HHIP	3.17064220531131	2.00857026629179	4.33271414433083	3.32945550053068	5.56369620422832	4.20583563545271e-06	0.00230334717304664	4.25541782868589
UBD	-3.76182247692899	-5.14102200782963	-2.38262294602836	3.13124149439334	-5.56186421857474	4.22801157063628e-06	0.00230334717304664	4.25056022984889
HLA.E	-0.969092263775889	-1.32617756209412	-0.612006965457659	8.31988127928166	-5.53404061993206	4.57959818046697e-06	0.00234891012668864	4.17677005489622
IRF1	-1.92595532328091	-2.63697840878881	-1.214932237773	5.92096786680683	-5.52346609948161	4.72078369526891e-06	0.00234891012668864	4.14871876015115
HLA.DRB1	-2.97945250611506	-4.08375440493421	-1.8751506072959	6.39228517960697	-5.50171176604576	5.02511287090955e-06	0.00234891012668864	4.09099918604087
ITGB8	1.42641579900057	0.897488681421086	1.95534291658004	5.76144741806883	5.49919972389114	5.06149827778078e-06	0.00234891012668864	4.08433317604391
PCSK7	-0.711452723844395	-0.976843692544024	-0.446061755144765	4.19080665792662	-5.46649673138523	5.55999735333319e-06	0.00248270232195471	3.99753494819674
WDR18	-0.534413638441666	-0.73418304629281	-0.334644230590521	4.77312349485515	-5.45503745257754	5.74607879782017e-06	0.00248270232195471	3.96711342264633
BTN3A2	-1.09726155927356	-1.50844770048632	-0.6860754180608	5.266898349081	-5.44152817357652	5.97348090659429e-06	0.00249492385865421	3.93124528736113
NOSIP	-0.297457606570912	-0.409172814834628	-0.185742398307196	5.83308577421202	-5.42952660657082	6.18305688576051e-06	0.00249915170253481	3.89937645571068
SLC2A12	1.69097309355869	1.05360746315307	2.32833872396431	5.81175182352436	5.40999971906513	6.53990166652739e-06	0.00256078024629963	3.84751781597212
FAS	-1.10310559184251	-1.52006916862356	-0.686142015061461	4.87553562625023	-5.39471060928009	6.833644097681e-06	0.00259471395587706	3.80690790477235
XXbac.BPG181B23.6	-0.908125348470523	-1.25460993975886	-0.561640757182188	0.749247771866507	-5.34454894493406	7.89338170317507e-06	0.00282363067893	3.67364090649612
RAB24	-0.636764626161244	-0.879822158151391	-0.393707094171097	4.59899336212472	-5.34218632764765	7.94716665086523e-06	0.00282363067893	3.6673629961874
LMBRD1	0.545244917311079	0.336841496277933	0.753648338344225	5.9090544688139	5.33501897007153	8.11258614856187e-06	0.00282363067893	3.64831750830564
GUCY1A3	-1.52955082042642	-2.11650589249865	-0.942595748354196	2.57681672950926	-5.31383710995102	8.62186950859592e-06	0.00289072861096905	3.59202789255498
RP11.333E1.2	1.47323916368864	0.905688321355072	2.04079000602221	1.40981179104634	5.29319225993705	9.14901063516801e-06	0.00289072861096905	3.53716028010097
JUN	-1.41135717993942	-1.9566482155877	-0.866066144291129	5.7862748414087	-5.27785877059468	9.56129227999329e-06	0.00289072861096905	3.49640593126084
DNAH6	0.753784363125828	0.462240322034511	1.04532840421714	1.45375229221839	5.27220320425256	9.7180046790962e-06	0.00289072861096905	3.48137370714873
HLA.DPA1	-2.3450463294306	-3.25274730125232	-1.43734535760887	5.57547563870504	-5.26814612587691	9.83200391714828e-06	0.00289072861096905	3.47059004204668
BST1	-1.22599547844863	-1.70166259920879	-0.750328357688465	2.91019073503304	-5.25575269260241	1.01885945575427e-05	0.00289072861096905	3.43764777531175
RSRP1	-0.625954735911589	-0.868957358444497	-0.382952113378682	6.46858925052477	-5.25268255378396	1.02789110811897e-05	0.00289072861096905	3.42948707751102
CD164	0.731770577575254	0.447521788367282	1.01601936678323	8.26302186804627	5.24959145719767	1.03706529122765e-05	0.00289072861096905	3.42127062242835
IRF8	-1.81941120311421	-2.52637193611827	-1.11245047011015	1.47211202902962	-5.24789042270083	1.04214873389253e-05	0.00289072861096905	3.41674907632651
TIMP3	1.39270536037457	0.85089583660043	1.93451488414871	9.05647996045068	5.24157492894764	1.06124115007643e-05	0.00289072861096905	3.39996164993134
HLA.B	-1.42854837735754	-1.98586405497337	-0.871232699741713	9.40072307439334	-5.22688419370014	1.10701659225748e-05	0.00295125912786941	3.36091113974863
TAP1	-1.26664208225062	-1.76345176505749	-0.769832399443741	4.90152194076075	-5.19891895145112	1.19967965259987e-05	0.00313166375980757	3.28657355075161
ATG5	-0.453401506144029	-0.631666009134751	-0.275137003153308	4.33734171386441	-5.1864150851147	1.2435815104107e-05	0.00318001557662164	3.25333562878684
HLA.DRB6	-3.06923262795484	-4.28199628851346	-1.85646896739622	2.54951979910277	-5.16063112227023	1.33924366138976e-05	0.00330878541481623	3.18479766741149
HLA.DOA	-2.18123556073844	-3.0434448013441	-1.31902632013278	2.15243849379863	-5.15868586213383	1.34675224385976e-05	0.00330878541481623	3.17962695987106
SELP	2.65993691451334	1.60539633019585	3.71447749883083	4.6031535114573	5.14348199925747	1.40690531704155e-05	0.00334871502306404	3.13921422387224
HCP5B	-1.00144190668097	-1.39912891896714	-0.603754894394799	1.58411369483866	-5.13491831210034	1.44196067347184e-05	0.00334871502306404	3.11645213315898
RBM14.RBM4	-0.557036670219724	-0.778256643021815	-0.335816697417633	2.47173874788211	-5.13462389438419	1.44318125495178e-05	0.00334871502306404	3.11566958728817
CIAPIN1	-0.347643051650974	-0.486284357371198	-0.209001745930749	4.62780133904557	-5.11316843979928	1.53496396754866e-05	0.00349692700243357	3.05864422721031
MED28	-0.452542393546492	-0.634120062193593	-0.270964724899391	5.13099723633193	-5.0821329231962	1.6781342645372e-05	0.00360677490950664	2.97616529672568
PPP1R15A	-1.50449824360607	-2.10823112608561	-0.900765361126541	6.78463771753173	-5.08154809753072	1.68095632896142e-05	0.00360677490950664	2.97461120282931
HCG4B	-1.09106838262948	-1.52892987615876	-0.653206889100199	1.83144219625791	-5.08117792580691	1.68274503210193e-05	0.00360677490950664	2.9736275247995
TMOD1	1.28688292936639	0.769446554678719	1.80431930405407	4.51930850079316	5.07143975210227	1.73048910078374e-05	0.00360677490950664	2.94775044603021
