logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
NLRC5	-1.38028303165634	-1.71251542240977	-1.04805064090291	3.81328579510788	-8.50848008224786	2.88376819797066e-09	1.41410443831951e-05	11.140848391164
HTRA1	2.25524729956157	1.70958449947674	2.8009100996464	10.1529996867915	8.46438936899884	3.20761534990129e-09	1.41410443831951e-05	11.0423765327604
GBP1	-2.81886849260382	-3.51139308600058	-2.12634389920706	5.48019360872287	-8.33614813086148	4.37777271267048e-09	1.41410443831951e-05	10.754293830229
CD74	-3.59653680104853	-4.48454715605041	-2.70852644604665	8.80497530619706	-8.29453964598605	4.84483465947171e-09	1.41410443831951e-05	10.6602915405614
HLA.DRA	-4.28748125493007	-5.35411643453689	-3.22084607532324	6.71957124997926	-8.23212847713512	5.64287485362932e-09	1.41410443831951e-05	10.5188041560531
ITIH4	2.78385838452125	2.06688359042363	3.50083317861887	4.89093129620629	7.95186612481548	1.1261264327952e-08	1.95600984678359e-05	9.87628294162027
STEAP3	1.52662376393873	1.13259631393287	1.9206512139446	3.49904543675395	7.93471530907549	1.17515290212541e-08	1.95600984678359e-05	9.83658607779973
BST1	-1.39611247556049	-1.75756839847027	-1.03465655265071	2.95655270893089	-7.9102620541096	1.24884906418745e-08	1.95600984678359e-05	9.77991248551039
LMCD1	-1.50380842757837	-1.91214052608565	-1.09547632907108	5.29901089954214	-7.54231736358763	3.14750104737449e-08	4.38202090262248e-05	8.91668770837896
PROS1	0.817180246574875	0.589779807998988	1.04458068515076	7.02838254973523	7.35956882288641	5.01284791303489e-08	6.28109843503272e-05	8.48080610233376
WSB1	-0.872911847088874	-1.1190389727302	-0.62678472144755	6.68951146944428	-7.26334572959149	6.41527139386466e-08	7.3075773241022e-05	8.24945069468453
HLA.DOA	-2.57541371326962	-3.31174777478767	-1.83907965175156	2.28721716138951	-7.16304900081156	8.30598916674543e-08	8.67283702161002e-05	8.00697110692569
HAPLN3	-2.26403185452933	-2.91526752281551	-1.61279618624316	3.81191848485143	-7.11983883381326	9.28705390373983e-08	8.95129118568154e-05	7.9020931267606
TPM1	-1.27940488297909	-1.65063658720904	-0.908173178749151	5.91438093554728	-7.05811538217404	1.08968745777171e-07	9.75270274705683e-05	7.75185590378622
SLC2A12	1.86332320010214	1.31989103056435	2.40675536963992	5.78339857297432	7.02212662433361	1.19637831535863e-07	9.9937468609624e-05	7.6640297257114
HLA.DRB1	-3.29684592979724	-4.27004510913515	-2.32364675045933	6.45008108735608	-6.93781518759306	1.48989235616929e-07	0.000116677195142508	7.45762889730985
HLA.E	-1.06003262098848	-1.37399731249246	-0.746067929484512	8.33165443098847	-6.91455489898287	1.58308458936256e-07	0.000116682646498311	7.40052766545611
PLEKHA1	1.71042966337586	1.19757533300472	2.223283993747	5.53511236432979	6.83025631835031	1.97340236923861e-07	0.000137370731591999	7.19302054279253
UBD	-4.14205552385212	-5.39335284478126	-2.89075820292299	3.19249723414499	-6.77924314158258	2.25579312146807e-07	0.000148382187032914	7.06702456033982
RARRES2	-3.00219207599072	-3.9116311941023	-2.09275295787913	6.30243809009779	-6.76068423842751	2.36843075870573e-07	0.000148382187032914	7.02110843640564
WDR18	-0.609202557020459	-0.79520199641323	-0.423203117627688	4.79369539880812	-6.70773491365053	2.72221751700142e-07	0.000160924990453617	6.88988185275471
HLA.DPB1	-2.40441305077661	-3.14188477966173	-1.66694132189148	6.0629710479975	-6.67712504107867	2.95076413397088e-07	0.000160924990453617	6.81386908519951
PATL2	-0.961057403978105	-1.25584696363366	-0.666267844322551	1.80030705187369	-6.6767180882911	2.95393039140718e-07	0.000160924990453617	6.81285777059912
HLA.DRB6	-3.55603411611631	-4.65187761827611	-2.46019061395651	2.70039671560244	-6.64573762028875	3.2053809378862e-07	0.000165511092990261	6.73581200379272
RP11.81H14.2	-2.1827619574893	-2.85695603559145	-1.50856787938715	2.71416089186936	-6.63051483989768	3.33678997513482e-07	0.000165511092990261	6.69791361037891
HLA.DMA	-2.25065609346186	-2.94777885384429	-1.55353333307942	5.33409463130734	-6.61189099776799	3.50502132799013e-07	0.000165511092990261	6.65151183552371
ABI2	-0.728879283960385	-0.95519375248616	-0.502564815434611	4.36609830666175	-6.59582456950547	3.65705465748083e-07	0.000165511092990261	6.61145014699659
IRF1	-2.02237309556142	-2.65071961894327	-1.39402657217958	5.8961854053011	-6.59155486713712	3.69857191039689e-07	0.000165511092990261	6.60079870400956
ITGB8	1.55812608341354	1.07263079805705	2.04362136877002	5.74534450066697	6.57269364041966	3.88777182833118e-07	0.000165971849044945	6.55372177584818
B2M	-1.22870118844207	-1.61243337395445	-0.844969002929698	13.8325949976006	-6.55758396420843	4.04640320738712e-07	0.000165971849044945	6.51597973250715
RAB24	-0.728250594457169	-0.955880939039219	-0.50062024987512	4.62486146550372	-6.55203940782464	4.10624686384142e-07	0.000165971849044945	6.50212373415201
TIA1	-0.734108302248089	-0.965774518536265	-0.502442085959912	5.14473604787644	-6.48967934690068	4.84447589043785e-07	0.000185959172984242	6.34604997613577
