logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
DNM1	2.08089308152378	1.54573976857913	2.61604639446843	2.98617517391953	7.94189804911635	7.39726520473476e-09	4.44270184874428e-05	10.2428774650686
PTPRG	1.13266243445782	0.831914544632876	1.43341032428276	0.870841759473934	7.69220177925763	1.41893771037794e-08	4.44270184874428e-05	9.63612383547786
SLAMF7	-2.80112467680724	-3.55313425028035	-2.04911510333413	4.09597423750991	-7.60784804801417	1.77126234064383e-08	4.44270184874428e-05	9.42916503840453
AHNAK2	1.77183204192566	1.29505277656333	2.24861130728798	1.64888753088608	7.59028268875373	1.85518398527791e-08	4.44270184874428e-05	9.38594515930295
HTRA1	2.96071605386124	2.14607044462736	3.77536166309513	4.74074579500524	7.4230228463314	2.88817045333229e-08	4.49520718290649e-05	8.97228962521569
TIMP2	0.888167511825856	0.643144081551869	1.13319094209984	4.51276354731924	7.40355023045983	3.04156061009613e-08	4.49520718290649e-05	8.92388599669488
MLPH	1.92015691853115	1.3875752071728	2.4527386298895	1.8107548053833	7.36382115619288	3.38071076507438e-08	4.49520718290649e-05	8.82497381275292
TPRG1	1.63483824440797	1.17895963884171	2.09071684997424	2.7152925748184	7.32450597012216	3.7542183383706e-08	4.49520718290649e-05	8.72688659921661
AC159540.1	1.57281919140002	1.11421808799701	2.03142029480303	3.73416041912554	7.00481168204703	8.8595938387826e-08	7.8757416147038e-05	7.92190902322841
ATRN	0.802308443852043	0.568165741516095	1.03645114618799	3.3737867853331	6.99863744832925	9.00872831993085e-08	7.8757416147038e-05	7.90623701023773
COPZ2	1.19835462323945	0.848558909599344	1.54815033687955	2.65392889842214	6.99718944072172	9.04407117253803e-08	7.8757416147038e-05	7.90256087403037
IL2RG	-1.50226418368233	-1.94623899069854	-1.05828937666613	4.970260366407	-6.91099765683055	1.14224154690979e-07	9.11794314820737e-05	7.68328744240524
KDELR3	1.45405669515683	1.01970907236112	1.88840431795254	2.07774133756124	6.83748916657004	1.39475400013626e-07	9.63318015666396e-05	7.4955870828504
PIM2	-1.26340679031906	-1.64099520952135	-0.885818371116766	3.87642726713012	-6.83403660445898	1.40791859477289e-07	9.63318015666396e-05	7.48675570968384
RCN3	1.54900528671206	1.07992595876915	2.01808461465497	4.27012018362285	6.74464918811004	1.79634309309294e-07	0.000107993479211534	7.2576373446597
IL32	-2.00552072304772	-2.61377053443765	-1.39727091165779	3.68987845554364	-6.73438483944019	1.8474035572604e-07	0.000107993479211534	7.231270167651
NOXA1	1.04301701789261	0.72604941953606	1.35998461624915	2.75395862168507	6.72092865049561	1.91657703997921e-07	0.000107993479211534	7.19668605053169
EPN2	1.72461752028753	1.18370471110789	2.26553032946716	2.11967049031364	6.5120584136302	3.39855329796299e-07	0.000180859678006597	6.65736662812273
RPS6KA2	1.11689643499356	0.764487415201885	1.46930545478523	2.75309505037085	6.47319438825928	3.78246004386208e-07	0.000190695709263973	6.55651844920805
DYX1C1	1.56815717738398	1.06729882892768	2.06901552584028	3.07704609270588	6.39480686862172	4.69568018746588e-07	0.00021206369716742	6.35265971699192
FGD5	1.31803184122392	0.896531113280116	1.73953256916773	2.2084421129835	6.38675612086325	4.80128968874696e-07	0.00021206369716742	6.33168911303306
FBLN5	2.11944303657476	1.44032107025076	2.79856500289875	2.93381961526811	6.37421532924252	4.97060506179498e-07	0.00021206369716742	6.29901066419701
RGL3	1.66300856556395	1.12848640158048	2.19753072954742	1.93593083351919	6.35450210509539	5.24904696297501e-07	0.00021206369716742	6.24761275515579
CARD11	1.58230913959273	1.07337344717763	2.09124483200783	1.51630323510552	6.35010909738336	5.31321508718873e-07	0.00021206369716742	6.23615403395527
LRP1	1.07306823674261	0.726439280394708	1.41969719309052	5.07559564701012	6.3228846646935	5.72895149392444e-07	0.000219510505441209	6.16510226382686
ISG20	-1.72865517022584	-2.2898308318047	-1.16747950864698	3.71068195366239	-6.29161735814189	6.24717776485763e-07	0.000223367249543079	6.08341620111506
BIRC3	-1.34648365499565	-1.78378963796293	-0.909177672028361	4.38273829235341	-6.28880931370598	6.29597634164644e-07	0.000223367249543079	6.07607587826275
KDM2B	0.978808911646345	0.660104042966313	1.29751378032638	3.56465036618065	6.27280773685802	6.58149747397236e-07	0.000225157729654219	6.03423387633693
C15orf48	-2.51181446589993	-3.33703152530502	-1.68659740649484	6.96070101501131	-6.21687477565546	7.68637556105191e-07	0.000246144277788598	5.88780117625051
MCOLN3	2.0407650570602	1.37019033116864	2.71133978295176	3.29366324616941	6.21582227496486	7.7088718380394e-07	0.000246144277788598	5.88504315346061
ABCC3	1.54754039430782	1.03721962497968	2.05786116363597	5.28138778140484	6.19371916589573	8.1969766777521e-07	0.000246199976776428	5.8271015709428
MYO6	1.35722661112357	0.908028270683431	1.80642495156372	1.59223157139415	6.17116250619007	8.72730427389624e-07	0.000246199976776428	5.76792909842227
EXTL2	0.98419918424165	0.658121936619657	1.31027643186364	2.18331898662106	6.16474708545135	8.88437081905248e-07	0.000246199976776428	5.75109200075748
DST	1.35432109616696	0.905331417234189	1.80331077509974	4.41047876708312	6.16081326367753	8.98208954440431e-07	0.000246199976776428	5.74076613216612
FERMT2	2.31038505490586	1.54436962434985	3.07640048546186	3.10576825137858	6.16026802607837	8.99571895518842e-07	0.000246199976776428	5.73933484148314
VAMP5	-1.75274864181487	-2.33663296842877	-1.16886431520096	6.52882190570571	-6.13120138953793	9.75335591008264e-07	0.000251416339864674	5.66299798298872
TOM1L1	1.02353437264322	0.681876126417527	1.36519261886892	1.63371804514394	6.11875810366736	1.00970868122781e-06	0.000251416339864674	5.63029794921973
CTA.384D8.35	-1.71261136447227	-2.28439774894834	-1.14082497999619	2.83636984230898	-6.11755343814502	1.01310066462253e-06	0.000251416339864674	5.62713152927725
APOL3	-1.2419240058188	-1.6568144535928	-0.827033558044797	4.25968949602283	-6.11384389463678	1.02361804517406e-06	0.000251416339864674	5.61738041245785
NBPF20	1.34274740602513	0.892303065584591	1.79319174646567	1.87058589892772	6.08843883115615	1.09867026186955e-06	0.000263104060961211	5.55057043606701
SOD2	-1.72196128470419	-2.30160895113248	-1.14231361827591	9.23102267664261	-6.06753165556072	1.16458418003133e-06	0.000272086630744393	5.49555180275793
ANKRD36C	1.29868278356919	0.860724328968308	1.73664123817006	3.53382462880759	6.05651682893412	1.20090079763696e-06	0.000273540245848487	5.46655227490952
ANKRD36	1.10113514451761	0.729047353773457	1.47322293526177	2.86342338370399	6.04432717010157	1.24242440167538e-06	0.000273540245848487	5.43444914110676
