logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
AGMAT	1.06766379288412	0.761599193410577	1.37372839235765	0.877818819870672	7.09186501902414	3.61816308383612e-08	0.000453355834404666	8.58202313899195
COPZ2	1.16550843876064	0.817967153369398	1.51304972415188	2.60872131910057	6.81785979146583	8.0253929229159e-08	0.000486690309903237	7.85759480480305
AHNAK2	1.6147465731164	1.12156146239815	2.10793168383466	1.64781575003888	6.65630879503051	1.28755148926728e-07	0.000486690309903237	7.42666186538632
HTRA1	2.84831613168366	1.95494663531309	3.74168562805423	4.64799210646001	6.48180731160507	2.15031100148613e-07	0.000486690309903237	6.95830054380042
ATRN	0.769820533133959	0.527710813110181	1.01193025315774	3.3498818210031	6.46422272502306	2.26463849575211e-07	0.000486690309903237	6.91094844707106
TIMP2	0.793835377075717	0.543796544404403	1.04387420974703	4.52167465237686	6.45449149682394	2.33052023896203e-07	0.000486690309903237	6.88473232863728
NUCKS1	0.655666586464206	0.44608416324148	0.865249009686932	3.00774190686621	6.36014828347339	3.07845829469163e-07	0.000551044034749801	6.63015019723998
RPS6KL1	1.19476236066676	0.804072685030021	1.5854520363035	1.61122400443041	6.21711132554405	4.69954319011042e-07	0.000736065952151044	6.24280661499201
KDELR3	1.34415857757196	0.896637923385149	1.79167923175877	2.06533795203467	6.10627656392318	6.52753302427417e-07	0.000908777653268392	5.94164570773956
TNFAIP8L3	1.18540502291621	0.774040419258788	1.59676962657364	1.27995414115718	5.85839823126417	1.36372036600701e-06	0.00166238861125801	5.26542268586862
PIM2	-1.13171210823022	-1.52597681464828	-0.737447401812159	3.86526137108525	-5.83562138396228	1.45939941930073e-06	0.00166238861125801	5.20313075895192
PTPRG	1.01199990635441	0.657367554525982	1.36663225818283	0.882425688113613	5.80151162198699	1.61542726542207e-06	0.00168677530297821	5.10980380930022
CCDC89	1.17975473451448	0.760646147655415	1.59886332137354	1.10358326299897	5.72274265247478	2.04269909372933e-06	0.00182078428743811	4.89411599333784
SLAMF7	-2.52837163140898	-3.42676944398505	-1.62997381883291	4.08287258323926	-5.72151801196028	2.0501676769784e-06	0.00182078428743811	4.89076093561776
CXADR	1.60344090839353	1.03164106446526	2.1752407523218	2.24707174933077	5.7009597327066	2.1797098413066e-06	0.00182078428743811	4.83443180267886
HIST2H2AA4	-1.31871690163109	-1.80124308371646	-0.836190719545711	7.65290931665874	-5.55609593064119	3.35718858667353e-06	0.00248157619013434	4.4371894899753
TOM1L1	0.936219402270366	0.592844769389177	1.27959403515156	1.63102096618763	5.54304590949585	3.49042081503726e-06	0.00248157619013434	4.40138237507273
CARD11	1.48124968506472	0.937280889041194	2.02521848108825	1.49157429923031	5.53596492372059	3.56491392038453e-06	0.00248157619013434	4.38195219816034
SUSD5	1.20050165356411	0.758008943206997	1.64299436392122	0.809866353824821	5.51563715586102	3.78772033125694e-06	0.00248835925127199	4.3261689583354
CCDC144B	1.37505312836287	0.86675582899416	1.88335042773157	3.88170106448102	5.49972181431455	3.97184238032241e-06	0.00248835925127199	4.2824905457534
EPN2	1.56046446220269	0.979287688099524	2.14164123630586	2.12544756725643	5.45864283661363	4.48950989602743e-06	0.00262890192480232	4.16974052083981
PDE6G	-1.11747509701025	-1.53593515396043	-0.699015040060073	2.15789927607994	-5.42903811013361	4.90391402549972e-06	0.00262890192480232	4.08847642941114
IL2RG	-1.37463652001148	-1.88980183302875	-0.859471206994205	4.9745379971514	-5.42475727081912	4.96692063216941e-06	0.00262890192480232	4.07672531488544
FGD5	1.25987881898905	0.786851943533793	1.73290569444431	2.172069173749	5.4147948208354	5.1167005283338e-06	0.00262890192480232	4.04937767765974
RCN3	1.43161398391892	0.893281399164469	1.96994656867338	4.25709895134593	5.40647638440678	5.24521533280591e-06	0.00262890192480232	4.02654279783585
RASL10A	1.75230893520548	1.0896438490683	2.41497402134265	2.2574964457283	5.37595509512082	5.74499579537671e-06	0.00276864605061808	3.94275867129964
AC159540.1	1.41332166462124	0.876332804519469	1.95031052472302	3.74536414700316	5.35075155551674	6.19335865421593e-06	0.00287417718286391	3.87357351253192
DYX1C1	1.48690091604508	0.917893036034222	2.05590879605594	3.04108418920807	5.31254711451685	6.94050117011649e-06	0.00302426269111108	3.76870631304226
DNM1	1.83032737238019	1.12907423476581	2.53158050999457	3.02496479885584	5.30631470788253	7.07064782957862e-06	0.00302426269111108	3.75160006817629
MYO6	1.26123543775071	0.775809926419635	1.74666094908179	1.57666113960506	5.28217292254415	7.59818648797551e-06	0.00302426269111108	3.68534123732766
MAP1A	0.406818216411029	0.250177056766412	0.563459376055646	0.359750645046632	5.27999544957367	7.64765663553518e-06	0.00302426269111108	3.67936533662985
IGFBP5	0.935005250953711	0.574221163937253	1.29578933797017	0.699179294209979	5.26872731785404	7.90883892096831e-06	0.00302426269111108	3.6484418213041
MCOLN3	1.84266133760739	1.13132598281585	2.55399669239893	3.30283814096095	5.26635553883356	7.96493765416325e-06	0.00302426269111108	3.64193308516565
CD28	2.09814444610959	1.28546247736972	2.91082641484947	2.72810164172309	5.24872484438406	8.39458183517591e-06	0.00307269970991635	3.59355276734493
P3H2	1.09032805479743	0.666750186311357	1.5139059232835	1.69305656864751	5.23314746331868	8.79338128219124e-06	0.00307269970991635	3.55081107201244
FBLN5	1.91147485684528	1.16870423640214	2.65424547728842	2.94469788730699	5.2318215079894	8.82818751452423e-06	0.00307269970991635	3.54717306910003
RP11.379B8.1	1.31049361132511	0.799500705898497	1.82148651675172	1.9104004346984	5.21385662114793	9.31352966166991e-06	0.00315401423407362	3.49788632175436
EML1	1.11394659676387	0.676038213507919	1.55185498001981	1.5437932412443	5.17154321496144	1.0564374659007e-05	0.00343170639748604	3.38182614860871
RP11.568K15.1	0.577979797378466	0.35060513495418	0.805354459802753	2.44776109370599	5.1678468833682	1.0681288866876e-05	0.00343170639748604	3.37168959504941
SLC37A2	1.06722867945588	0.64667681298872	1.48778054592304	6.24692800221084	5.1591359130034	1.09619397230816e-05	0.00343382761825533	3.34780264759743
AQP1	2.02017833027621	1.22176769067155	2.81858896988086	2.4953231020851	5.14401751928413	1.14665765834966e-05	0.0035042976729564	3.30635029872658
SLC25A4	1.37179264019177	0.827031479260778	1.91655380112276	1.86343908493797	5.11942727859208	1.23372671088814e-05	0.00361365946658009	3.23894162458162
PRG4	3.57801835223638	2.15664666262685	4.99939004184591	4.58288176024771	5.11768969239071	1.2401225623539e-05	0.00361365946658009	3.23417911495206
AK1	1.49958700915522	0.898340887025234	2.10083313128521	3.6938630262582	5.07058920667387	1.42665146221411e-05	0.00406271427762337	3.10512095035046
