logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
AGMAT	1.14118121487861	0.857641928482818	1.42472050127441	0.878218430157104	8.2121113234529	3.06212860182026e-09	1.99777354582724e-05	11.0722933474285
DNM1	2.13071410367626	1.59934864624366	2.66207956110885	2.92684945670002	8.18173328349928	3.31422199905355e-09	1.99777354582724e-05	10.9986720872617
PTPRG	1.13201420861226	0.841997461650853	1.42203095557367	0.854284246478426	7.96420182326654	5.85990304849288e-09	1.99777354582724e-05	10.4675907277911
RPS6KL1	1.35106616997152	1.00101910956257	1.70111323038048	1.56971824185064	7.87523714839337	7.4106085705286e-09	1.99777354582724e-05	10.248446357797
AHNAK2	1.7802899252153	1.31741365885077	2.24316619157984	1.61761907915409	7.84764369961798	7.97196147576711e-09	1.99777354582724e-05	10.1802494962367
SLAMF7	-2.90735754868104	-3.67622280106351	-2.13849229629857	4.19802875088035	-7.71545720508488	1.13250084822988e-08	2.36503927138674e-05	9.85207981259933
TIMP2	0.878104079636806	0.641935311204613	1.114272848069	4.50519469032552	7.58642180825708	1.59867409216885e-08	2.86162662498224e-05	9.52941542598821
RASL10A	1.97049031832144	1.43477187093291	2.50620876570997	2.2028906806222	7.50500800567252	1.9891461152561e-08	3.11550010301986e-05	9.32467602183845
HTRA1	3.10699524183172	2.2497431348984	3.96424734876504	4.61361367044243	7.39512438120739	2.67481395573293e-08	3.35281055300053e-05	9.04694792094259
TNFAIP8L3	1.28890168987227	0.933273652602527	1.64452972714201	1.26800380351211	7.39498429797897	2.67582645889906e-08	3.35281055300053e-05	9.04659285539803
MLPH	1.87768501510829	1.35199831978211	2.40337171043447	1.80613021739084	7.28801421137208	3.57479701405625e-08	4.0720187805568e-05	8.77471973127703
ATRN	0.83426221840554	0.598803160169344	1.06972127664174	3.34369112944236	7.22937294171786	4.19226263284116e-08	4.22298434058561e-05	8.62505978203179
COPZ2	1.24167741917188	0.889867630268063	1.59348720807569	2.61147286566719	7.20135664762448	4.52445491657509e-08	4.22298434058561e-05	8.5534063798632
AC159540.1	1.56691336496637	1.12200111804306	2.01182561188968	3.71400515814116	7.18594816734448	4.71841825763755e-08	4.22298434058561e-05	8.51395662667141
KDELR3	1.49690604755482	1.06512315168428	1.92868894342535	2.03173275391842	7.07363366074219	6.41233863401734e-08	5.06999904985103e-05	8.22552187448662
IL2RG	-1.56220271730281	-2.01304349613792	-1.11136193846771	5.0266731611918	-7.07013413757928	6.47406103731975e-08	5.06999904985103e-05	8.21651018135975
NOXA1	1.04359432190756	0.73763663093173	1.34955201288338	2.73804617098165	6.95959213677496	8.76758720859733e-08	6.46222751316027e-05	7.93110349743166
RCN3	1.61559477301768	1.13683543378831	2.09435411224706	4.20924008537465	6.88539145899028	1.07545480621398e-07	7.48636040103396e-05	7.73872866065724
PIM2	-1.23998316155134	-1.60915015142304	-0.870816171679635	3.88203236976421	-6.85340478152927	1.17465092236732e-07	7.74651371434871e-05	7.6556062246896
EPN2	1.75610880280019	1.22624350020403	2.28597410539636	2.07605528336826	6.76237724359289	1.51074072003939e-07	9.4647906110468e-05	7.41843591307366
