logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
GLA	-1.75599126550273	-2.25884992436404	-1.25313260664142	6.55805790481408	-7.10208530516653	3.72571718041847e-08	0.000466832362706434	8.32509514281135
CKS2	-1.14634342041298	-1.48949041231017	-0.803196428515788	7.29460147934029	-6.7942889436954	9.06834552451868e-08	0.000568131847111096	7.54709442236607
RNF139.AS1	-1.27833994280658	-1.66931243504206	-0.887367450571104	3.3179471022307	-6.64981590234638	1.38068818998303e-07	0.000576667434016247	7.17798492661155
SPINT1	1.18190193112192	0.773676359170748	1.5901275030731	2.45805856572563	5.88831048562249	1.2959640701526e-06	0.00267423529315577	5.19828430553104
HIST1H2AC	-1.33710216200031	-1.80189519094143	-0.872309133059182	3.67851793639721	-5.85078920040573	1.4482263143528e-06	0.00267423529315577	5.09955723185365
BCAS2	-1.29528733992038	-1.74784552089831	-0.842729158942449	7.3488500193651	-5.82104781280553	1.58157826176425e-06	0.00267423529315577	5.02124234205533
NFKBID	-1.46283782204305	-1.97480123302389	-0.950874411062211	5.18221473520506	-5.81121204323575	1.62833698334685e-06	0.00267423529315577	4.99533186709155
ARL5B	-1.50917065997859	-2.03880842709282	-0.979532892864357	2.94067449464524	-5.79520593373732	1.70741279690712e-06	0.00267423529315577	4.95315546309054
GEM	-2.46091401625205	-3.33166099218504	-1.59016704031905	4.64911375723236	-5.74796256238589	1.96400051019618e-06	0.00273432515475091	4.82858948451942
NR4A2	-1.26370155213201	-1.73196302888069	-0.795440075383321	8.41166935031593	-5.48865021165173	4.23836752021689e-06	0.00488282319333528	4.14314803629641
STX3	1.59341664763486	1.00227899324913	2.18455430202058	2.59749790194516	5.48214088344521	4.32103601913659e-06	0.00488282319333528	4.12591294176605
CLECL1	1.40449626343223	0.880902895601095	1.92808963126337	3.96677196163586	5.45551704640101	4.67628717637856e-06	0.00488282319333528	4.05540900597795
CHD2	-0.708653039757007	-0.983136599244126	-0.434169480269888	6.36177437467497	-5.25081579799433	8.58349659803411e-06	0.00827317018256672	3.51295529959594
RPL22L1	-0.708430662974548	-0.985174341339436	-0.431686984609659	6.83146042570343	-5.20629901208196	9.79468342979599e-06	0.00876624166966741	3.39495392658705
H3F3B	-0.758238757094114	-1.05748480716446	-0.458992707023765	11.3484581771885	-5.15331890249155	1.14600836506466e-05	0.00919332269619894	3.25453243527414
RP3.448I9.1	-1.05523086108775	-1.47242941243757	-0.638032309737935	3.20897414436377	-5.14415632854685	1.17754802413967e-05	0.00919332269619894	3.23025011907016
SAA2	-0.85469204953954	-1.1938858642688	-0.515498234810276	2.46252959739564	-5.12473255515523	1.24729837059363e-05	0.00919332269619894	3.17877746217919
CENPM	-1.10032032237112	-1.54322184932279	-0.657418795419455	5.37848035584164	-5.05267567749725	1.54395137558338e-05	0.0107476170755888	2.98788296812602
H2AFZ	-0.800328061058873	-1.1265527226625	-0.474103399455249	8.36573120949561	-4.98954243911268	1.86100425032466e-05	0.0122728332929305	2.82072721374961
