gene	cluster	cell_type	auc	wilcox_pvalue	ttest_pvalue	pct_nonzero	pct_nonzero_other	log2FC	
1	DCN	C-F1	Fibroblast	0.733150801	9.72E-57	1.45E-47	0.998141264	0.995626822	1.01490634
2	IGF1	C-F1	Fibroblast	0.721953678	6.79E-55	1.21E-54	0.817843866	0.5196793	3.727388315
3	FBLN1	C-F1	Fibroblast	0.711275429	2.35E-48	5.29E-36	0.821561338	0.632653061	2.55083764
4	PDGFRL	C-F1	Fibroblast	0.690020538	2.87E-39	9.53E-21	0.791821561	0.667638484	1.760312686
5	SFRP1	C-F1	Fibroblast	0.688264764	5.05E-41	2.58E-39	0.749070632	0.481778426	3.322450283
6	C3	C-F1	Fibroblast	0.680677409	4.85E-39	1.17E-33	0.695167286	0.443877551	2.884017056
7	GAS6	C-F1	Fibroblast	0.674018745	5.36E-40	3.54E-32	0.607806691	0.341107872	2.428825165
8	FBLN5	C-F1	Fibroblast	0.65741679	1.00E-30	1.56E-24	0.644981413	0.424927114	2.073317831
9	RPL37	C-F1	Fibroblast	0.652429905	3.14E-25	7.15E-06	0.983271375	0.996355685	0.322962404
10	VCAN	C-F1	Fibroblast	0.64813869	6.34E-24	1.97E-31	0.979553903	0.925655977	1.479814244
11	RPL35A	C-F1	Fibroblast	0.645695373	3.44E-23	6.07E-06	0.986988848	0.996355685	0.293937575
12	CD34	C-F1	Fibroblast	0.644014111	7.43E-37	3.68E-28	0.446096654	0.189504373	2.162830754
13	GSN	C-F1	Fibroblast	0.642934364	2.22E-22	3.22E-05	0.942379182	0.978134111	0.545449471
14	SERPINF1	C-F1	Fibroblast	0.641571472	5.10E-22	1.53E-28	0.957249071	0.852769679	1.657671791
15	PPAP2B	C-F1	Fibroblast	0.639613838	1.82E-21	0.000402157	0.847583643	0.884110787	0.613669667
16	MFAP5	C-F1	Fibroblast	0.638871427	1.51E-36	2.26E-28	0.433085502	0.163994169	2.434351047
17	PODN	C-F1	Fibroblast	0.638620119	2.03E-23	6.32E-19	0.663568773	0.476676385	1.822147013
18	PTGFR	C-F1	Fibroblast	0.638391841	4.48E-22	1.56E-13	0.711895911	0.604956268	1.566890519
19	SFRP2	C-F1	Fibroblast	0.637780843	1.93E-44	1.02E-30	0.369888476	0.106413994	2.785468679
20	CFH	C-F1	Fibroblast	0.637465183	7.94E-21	0.001132225	0.910780669	0.935860058	0.459084552
21	CD74	C-F2	Fibroblast	0.819403748	1.46E-122	8.65E-130	0.962707182	0.705733558	4.082577891
22	IFITM3	C-F2	Fibroblast	0.797824294	5.11E-106	8.88E-100	1	0.992411467	1.015378206
23	LGALS3BP	C-F2	Fibroblast	0.793483248	1.88E-103	1.29E-87	0.968232044	0.755480607	2.602923301
