Sample,Tcell,Bcell,Monocyte,Fibroblast,Other cells,All viable cells
300-0121,423,111,380,653,13433,15000
300-0122,4500,17500,1900,4400,61700,90000
300-0133,6,1,107,126,9760,10000
300-0153,1400,1000,1000,1187,45413,50000
300-0211,4958,16,1539,3345,70142,80000
300-0212,159,5,573,309,68954,70000
300-0213,3141,1367,783,2669,82040,90000
300-0451,448,0,157,42,19353,20000
300-0452,85,8,12,43,19852,20000
300-0481,17622,787,10400,829,45362,75000
300-0482,165000,39000,139000,76000,281000,700000
300-0483,33000,2500,39000,19000,256500,350000
300-0485,19000,3600,6000,7000,32400,68000
300-0486,109000,47000,81000,37000,456000,730000
300-0487,111643,34000,113000,48700,252657,560000
300-0511,58500,7000,8272,12700,453528,540000
300-0512,312312,38715.534,99828.3,93226.32,115917.846,660000
300-0527,1000,194,843,35,17928,20000
300-0528,14000,11000,123000,12000,290000,450000
300-0546,11000,11000,18656,10700,43644,95000
300-2590,4427,2803,636,3621,83513,95000
301-0121,718,4,1614,2353,115311,120000
301-0122,1989,1318,626,4000,152067,160000
301-0124,320,13,4500,5800,229367,240000
301-0131,388,37,891,1000,77684,80000
301-0132,9600,3300,80000,206000,1101100,1400000
301-0133,633,27,9000,17000,293340,320000
301-0134,10400,1564,17024,5500,765512,800000
301-0135,1685,68,1634,7700,788913,800000
301-0151,648,70,49000,99500,10782,160000
301-0152,1119,64,44400,15400,579017,640000
301-0153,4100,495,84000,122000,749405,960000
301-0155,1000,84,9500,52900,716516,780000
301-0156,140000,23000,111500,37000,1988500,2300000
301-0157,13001,4963,53000,79000,1600036,1750000
301-0158,2600,114,2600,18200,576486,600000
301-0159,5900,841,58900,122000,862359,1050000
301-0160,750,79,1778,11400,110993,125000
301-0162,857,12,2592,12300,139239,155000
301-0163,11000,434,31900,99000,617666,760000
301-0241,33,2,1350,671,117944,120000
301-0242,10700,2500,39100,115000,692700,860000
301-0244,1027,406,4538,9241,264788,280000
301-0248,1433,47,5800,14500,318220,340000
301-0249,15,0,114,2000,197871,200000
301-0250,17200,5700,168700,60300,648100,900000
301-0251,1115,245,6378,8514,183748,200000
301-0253,3700,1000,14100,5865,185335,210000
301-0400,2262,12,3100,12400,107226,125000
301-0401,5600,711,17499,76700,419490,520000
301-0402,2589,468,4435,7459,65049,80000
301-0403,10548,2013,21297,44575,281567,360000
301-0404,3990,520,6700,17400,139390,168000
301-0405,705,332,2708,10100,83155,97000
301-0161,2908,2200,546,9944,224402,240000
301-0247,198,75,1000,1982,76745,80000
301-0154,10400,1564,17024,5500,765512,800000
300-0134,2,0,26,2,9970,10000
